Site;Layer LTE;LTE detail;CelleLTE_Configurate;Admnistrative_State;Baseband 5216;Baseband 6620;Baseband 6630;Baseband R503;Presenza Baseband;DUS3101;DUS3102;DUS4101;DUS4102;Presenza DUS;#Radio;#RRU;#RU;BB/DU Presenti;0
AL5E;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
AL5F;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
AL61;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
AL62;1;L8;2;2;;;;;;;;;1;#1 DUS4102;;;4;DUS41;
AL63;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
AL64;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
AL65;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;3;;DUS41;
AL66;1;L8;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
AL68;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
AL69;1;L8;1;1;1;;;;#1 Baseband 5216;;;;;;1;;;BB5216;
AL6B;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
AL6D;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;3;;6;BB5216;
AL6E;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
AL70;1;L8;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
AL71;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;3;;DUS41;
AL72;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
AL73;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;6;3;;BB6630;
AL75;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
AL76;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
AL77;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;3;;DUS41;
AL78;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;3;;DUS41;
AL79;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;6;;;BB6630;
AL7A;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
AL7B;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
AL7C;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
AL7D;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
AL7E;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;3;;DUS41;
AL80;2;L18L21;6;6;;;1;;#1 Baseband 6630;;;;;;3;;6;BB6630;
AL81;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
AL82;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
AL83;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
AL84;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
AL86;1;L18;3;3;;;;;;;;;1;#1 DUS4102;;;6;DUS41;
AL87;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
AL89;2;L18L21;6;6;;;;;;;;;1;#1 DUS4102;6;;;DUS41;
AL8A;2;L18L21;6;6;;;;;;;;1;;#1 DUS4101;3;6;;DUS41;
AL8B;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
AL8D;3;L8L18L21;9;9;;;1;1;#1 Baseband 6630 #1 Baseband R503;;;;;;;;18;BB6630;
AL8E;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
AL8F;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
AL90;2;L18L21;6;6;;;;;;;;1;;#1 DUS4101;3;3;;DUS41;
AL91;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
AL92;2;L18L21;6;6;;;;;;;;;1;#1 DUS4102;3;3;;DUS41;
AL93;3;L8L18L21;10;10;;;1;1;#1 Baseband 6630 #1 Baseband R503;;;;;;;;20;BB6630;
AL94;2;L18L21;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
AL95;2;L18L21;5;5;;;;;;;;1;;#1 DUS4101;5;;;DUS41;
AL96;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
AL97;2;L18L21;6;6;;;;;;;;1;;#1 DUS4101;6;;;DUS41;
AL98;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;;;12;DUS41;
AL99;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;;6;DUS41;
AL9A;3;L8L18L21;9;9;;;1;1;#1 Baseband 6630 #1 Baseband R503;;;;;;3;;10;BB6630;
AL9D;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
AL9E;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
AL9F;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
ALA0;1;L8;3;3;;;;;;;;;1;#1 DUS4102;3;;;DUS41;
ALA1;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
ALA2;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
ALA3;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
ALA4;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
ALA5;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
ALA6;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;3;;6;BB6630;
ALA7;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
ALA8;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;3;;DUS41;
ALA9;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;3;3;;BB6630;
ALAA;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
ALAC;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
ALAD;1;L8;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
ALAE;1;L8;3;3;;;;;;;;1;;#1 DUS4101;3;;;DUS41;
ALB0;2;L18L21;6;6;;;1;;#1 Baseband 6630;;;;;;4;;;BB6630;
ALB1;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
ALB3;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
ALB5;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
ALB7;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;3;;6;BB5216;
ALB8;2;L18L21;6;6;;;1;;#1 Baseband 6630;;;;;;3;;6;BB6630;
ALB9;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;3;;DUS41;
ALBA;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
ALBB;2;L18L21;6;6;;;1;;#1 Baseband 6630;;;;;;4;;;BB6630;
ALBC;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
ALBF;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;3;;DUS41;
ALC0;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;;6;DUS41;
ALC2;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
ALC4;3;L8L18L21;6;6;1;;;;#1 Baseband 5216;;;;;;2;;8;BB5216;
ALC5;2;L8L21;6;6;;;;;;;;1;;#1 DUS4101;3;3;;DUS41;
ALC6;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;3;;DUS41;
ALC7;1;L8;2;2;1;;;;#1 Baseband 5216;;;;;;;;4;BB5216;
ALC8;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
ALC9;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
ALCA;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
ALCD;1;L8;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
ALCE;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
ALD0;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
ALD1;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;;6;DUS41;
ALD3;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
ALD4;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;3;;DUS41;
ALD5;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
ALD6;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
ALD7;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
ALD8;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
ALD9;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
ALDB;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
ALDC;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
ALDE;1;L8;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
ALE0;1;L21;3;3;;;1;;#1 Baseband 6630;;;;;;;;6;BB6630;
ALE4;1;L18;1;1;;;1;;#1 Baseband 6630;;;;;;1;;;BB6630;
ALE5;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
ALE6;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
ALE7;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
ALE8;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
ALE9;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
ALF1;2;L18L21;6;6;;;;;;;;1;;#1 DUS4101;;6;;DUS41;
ALF2;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
ALF3;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
ALF4;1;L18;3;3;;;;;;;;;1;#1 DUS4102;;3;;DUS41;
ALF5;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
ALF6;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
ALF7;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
ALF8;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
ALF9;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
ALFA;1;L8;4;4;;;1;;#1 Baseband 6630;;;;;;4;;;BB6630;
ALFB;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
ALFC;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
ALFD;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
ALFF;1;L8;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
AO01;5;L8L15L18L21L26;15;15;;;1;;#1 Baseband 6630;;;;;;6;9;;BB6630;
AO02;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
AO03;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;3;3;;BB5216;
AO04;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;3;3;;BB6630;
AO05;3;L8L18L26;9;9;1;;;1;#1 Baseband 5216 #1 Baseband R503;;;;;;6;3;;BB5216+R503;
AO06;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;3;;DUS41;
AO07;1;L8;2;2;;;;;;;;1;;#1 DUS4101;;;4;DUS41;
AO08;2;L18L26;6;6;;;1;;#1 Baseband 6630;;;;;;3;6;;BB6630;
AO09;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;3;;6;BB5216;
AO0D;1;L8;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
AO0E;1;L18;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
AO10;1;L18;2;2;;;;;;;;;1;#1 DUS4102;;2;;DUS41;
AO11;1;L18;2;2;;;;;;;;;1;#1 DUS4102;;2;;DUS41;
AO12;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;;6;;DUS41;
AO13;1;L8;2;2;;;;;;;;;1;#1 DUS4102;;;4;DUS41;
AO14;1;L18;2;2;;;;;;;;1;;#1 DUS4101;;2;;DUS41;
AO15;2;L8L21;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
AO16;1;L18;2;2;;;;;;;;1;;#1 DUS4101;;2;;DUS41;
AO17;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;;6;;DUS41;
AO18;3;L8L18L26;9;9;;;1;;#1 Baseband 6630;;;;;;3;6;;BB6630;
AO1A;2;L8L18;4;4;;;1;;#1 Baseband 6630;;;;;;4;;;BB6630;
AO1D;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;5;;;BB6630;
AO1E;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
AO20;1;L8;2;2;;;;;;;;1;;#1 DUS4101;;;4;DUS41;
AO21;1;L8;2;2;;;;;;;;;1;#1 DUS4102;;;4;DUS41;
AO22;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
AO23;2;L8L18;2;2;;;;;;;;1;;#1 DUS4101;;;4;DUS41;
AO25;1;L18;2;2;;;;;;;;1;;#1 DUS4101;;2;;DUS41;
AO26;3;L8L18L21;6;6;;;1;;#1 Baseband 6630;;;;;;4;;;BB6630;
AO27;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;3;;DUS41;
AO2A;1;L18;2;2;;;;;;;;;1;#1 DUS4102;;;4;DUS41;
AO30;1;L18;1;1;;;;;;;;1;;#1 DUS4101;;;2;DUS41;
AO31;2;L8L26;3;3;;;1;;#1 Baseband 6630;;;;;;1;;4;BB6630;
AO33;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
AO34;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
AO35;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
AO36;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
AO38;2;L8L18;4;4;;;1;;#1 Baseband 6630;;;;;;2;;4;BB6630;
AO39;1;L18;2;2;;;;;;;;;1;#1 DUS4102;;;4;DUS41;
AO3A;1;L18;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
AO41;2;L8L18;4;4;;;;;;;;1;;#1 DUS4101;2;;4;DUS41;
AO42;2;L8L18;6;6;;;;;;;;;1;#1 DUS4102;3;3;;DUS41;
AO43;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
AO44;1;L8;2;2;;;;;;;;;1;#1 DUS4102;;;4;DUS41;
AO45;1;L8;2;2;;;;;;;;1;;#1 DUS4101;;;4;DUS41;
AO46;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
AO47;1;L8;2;2;;;;;;;;1;;#1 DUS4101;;;4;DUS41;
AO49;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
AO50;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
AO51;2;L8L18;4;4;;;1;;#1 Baseband 6630;;;;;;;;8;BB6630;
AO52;4;L8L18L21L26;8;8;;;2;;#2 Baseband 6630;;;;;;5;;;BB6630;
AO54;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
AO55;1;L8;2;2;;;;;;;;;1;#1 DUS4102;;;4;DUS41;
AO57;2;L8L18;6;6;;;;;;;;;1;#1 DUS4102;;6;;DUS41;
AO58;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
AO59;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
AO60;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
AO61;2;L18L21;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
AO62;4;L8L18L21L26;11;11;;;1;;#1 Baseband 6630;;;;;;3;8;;BB6630;
AO63;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;3;6;;BB6630;
AO64;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;6;3;;BB6630;
AO65;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;3;;12;BB6630;
AO66;2;L18L21;6;6;;;;;;;;1;;#1 DUS4101;3;3;;DUS41;
AO68;2;L8L18;2;2;1;;;;#1 Baseband 5216;;;;;;1;1;;BB5216;
AO69;1;L18;3;3;;;;;;;;;1;#1 DUS4102;3;;;DUS41;
AO72;4;L8L18L21L26;12;12;;;1;;#1 Baseband 6630;;;;;;3;9;;BB6630;
AO76;2;L18L26;6;6;;;1;;#1 Baseband 6630;;;;;;5;;;BB6630;
AO78;1;L8;2;2;;;;;;;;;1;#1 DUS4102;;2;;DUS41;
AO79;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;3;;DUS41;
AO82;1;L8;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
AO83;1;L18;1;1;;;;;;;;;1;#1 DUS4102;;2;;DUS41;
AO85;1;L18;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
AO86;1;L8;2;2;1;;;;#1 Baseband 5216;;;;;;;2;;BB5216;
AO87;1;L8;2;2;;;;;;;;;1;#1 DUS4102;;;4;DUS41;
AO88;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
AO89;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
AO90;1;L18;2;2;;;;;;;;1;;#1 DUS4101;;;4;DUS41;
AO92;1;L18;3;3;;;;;;;;;1;#1 DUS4102;3;;;DUS41;
AO93;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;;6;;DUS41;
AO94;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;3;;DUS41;
AO95;1;L8;2;2;;;;;;;;;1;#1 DUS4102;;;4;DUS41;
AO96;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
AO98;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
AO99;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;3;;DUS41;
AOA0;1;L18;3;3;;;;;;;;;1;#1 DUS4102;;3;;DUS41;
AOA1;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
AOA3;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;3;;6;BB6630;
AOAD;1;L18;2;2;;;;;;;;1;;#1 DUS4101;;2;;DUS41;
AOAE;1;L18;3;3;;;;;;;;;1;#1 DUS4102;;3;;DUS41;
AOB0;1;L21;3;3;;;1;;#1 Baseband 6630;;;;;;;3;;BB6630;
AOB1;2;L8L18;6;6;;;;;;;;;1;#1 DUS4102;3;;6;DUS41;
AOB3;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
AOB4;1;L18;2;2;;;;;;;;1;;#1 DUS4101;2;;;DUS41;
AOB5;1;L18;2;2;;;;;;;;1;;#1 DUS4101;;;4;DUS41;
AOB6;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
AR01;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
AR02;4;L8L18L21L26;12;12;;;1;;#1 Baseband 6630;;;;;;3;12;;BB6630;
AR03;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;3;;DUS41;
AR04;1;L8;1;1;1;;;;#1 Baseband 5216;;;;;;1;;;BB5216;
AR05;1;L18;3;3;;;;;;;;1;;#1 DUS4101;3;;;DUS41;
AR06;1;L8;2;2;;;;;;;;1;;#1 DUS4101;2;;;DUS41;
AR07;3;L8L18L26;8;8;;;;;;;;2;;#2 DUS4101;6;2;;DUS41;
